Nombre;Valoración
Smallville;7.9
Human Target;7.9
Young Justice;7.9
Arrow;7.9
Constantine;7.9
Gotham;7.9
Gotham;7.9
Supergirl;7.9
Supergirl;7.9
Supergirl;7.9
Gotham;7.9
Gotham;7.9
Gotham;7.9
Supergirl;7.9
Constantine: City of Demons;7.9
The Flash;7.9
DC's Legends of Tomorrow;7.9
DC's Legends of Tomorrow;7.9
DC's Legends of Tomorrow;7.9
Gotham;7.9
Watchmen;7.9
Captain America: Civil War;7.8
The Oscars;7.8
WandaVision;7.8
Luke Cage;7.8
Luke Cage;7.8
The Falcon and the Winter Soldier;7.8
Gotham;7.8
Batman Beyond: Return of the Joker;7.8
Batman Beyond: The Movie;7.8
Revolutionizing a Classic: From Comic Book to Television - The Evolution of Wonder Woman from Page to Screen;7.8
Aquaman: War of the Water Worlds;7.8
Batman Beyond;7.8
Batman Beyond;7.8
Batman Beyond;7.8
Batman Beyond;7.8
Batman Beyond;7.8
Batman: The Animated Series;7.8
Batman: The Animated Series;7.8
Batman: The Animated Series;7.8
Batman: The Animated Series;7.8
Batman: The Animated Series;7.8
Batman: The Animated Series;7.8
Batman: The Animated Series;7.8
Batman: The Animated Series;7.8
Batman: The Animated Series;7.8
Batman: The Animated Series;7.8
The Batman;7.8
The New Batman Adventures;7.8
Justice League Unlimited;7.8
Justice League;7.8
Justice League Unlimited;7.8
Justice League Unlimited;7.8
Smallville;7.8
Smallville;7.8
Smallville;7.8
Smallville;7.8
Smallville;7.8
Smallville;7.8
Smallville;7.8
Teen Titans;7.8
The Zeta Project;7.8
The Zeta Project;7.8
Smallville;7.8
Justice League Unlimited;7.8
The Batman;7.8
Smallville;7.8
Batman: Black and White;7.8
Batman: Black and White;7.8
Smallville;7.8
Gotham;7.8
Gotham;7.8
Constantine;7.8
Gotham;7.8
Justice League: Gods and Monsters Chronicles;7.8
Supergirl;7.8
Supergirl;7.8
Supergirl;7.8
Powerless;7.8
Powerless;7.8
The Flash;7.8
Constantine: City of Demons;7.8
The Flash;7.8
Krypton;7.8
Krypton;7.8
Captain America: The Winter Soldier;7.7
Spider-Man Venom Saga;7.7
X-Men: Evolution;7.7
Marvel Studios: Legends;7.7
Marvel Studios: Legends;7.7
Luke Cage;7.7
Agents of S.H.I.E.L.D.;7.7
Clerks;7.7
Adventures of Superman;7.7
Too Funny to Fail: The Life & Death of The Dana Carvey Show;7.7
Justice League: Gods and Monsters Chronicles;7.7
Challenge of the Superfriends;7.7
Green Arrow;7.7
Batman: The Journey Begins;7.7
From Rivals to Romance: The Making of Lois and Clark;7.7
Wonder Woman: The Ultimate Feminist Icon;7.7
Batman Beyond;7.7
Batman: The Animated Series;7.7
Batman: The Animated Series;7.7
Batman: The Animated Series;7.7
Batman: The Animated Series;7.7
Batman: The Animated Series;7.7
Batman: The Animated Series;7.7
Batman: The Animated Series;7.7
Batman: The Animated Series;7.7
The Batman;7.7
The Batman;7.7
The Batman;7.7
The Batman;7.7
The New Batman Adventures;7.7
Justice League;7.7
Justice League;7.7
Justice League;7.7
Justice League;7.7
Justice League Unlimited;7.7
Smallville;7.7
Smallville;7.7
Smallville;7.7
The Zeta Project;7.7
The Zeta Project;7.7
The Zeta Project;7.7
The Zeta Project;7.7
Smallville;7.7
Smallville;7.7
Batman: Black and White;7.7
Human Target;7.7
Human Target;7.7
Gotham;7.7
Supergirl;7.7
Supergirl;7.7
Supergirl;7.7
Supergirl;7.7
Supergirl;7.7
Supergirl;7.7
Supergirl;7.7
Supergirl;7.7
Supergirl;7.7
Constantine: City of Demons;7.7
The Flash;7.7
DC's Legends of Tomorrow;7.7
Gotham;7.7
Guardians of the Galaxy Vol. 2;7.6
Marvel One-Shot: Agent Carter;7.6
Mutant X;7.6
Marvel Studios: Legends;7.6
Jessica Jones;7.6
Watchmen;7.6
Constantine: City of Demons;7.6
The Super Powers Team: Galactic Guardians;7.6
Shadows of the Bat: The Cinematic Saga of the Dark Knight - The Legend Reborn;7.6
Smallville;7.6
Batman Beyond;7.6
Batman Beyond;7.6
Batman Beyond;7.6
Batman Beyond;7.6
Batman: The Animated Series;7.6
The Batman;7.6
The New Batman Adventures;7.6
The New Batman Adventures;7.6
Justice League;7.6
Justice League Unlimited;7.6
Justice League Unlimited;7.6
Justice League Unlimited;7.6
Justice League;7.6
Justice League;7.6
Smallville;7.6
Smallville;7.6
Smallville;7.6
Superman: The Animated Series;7.6
Teen Titans;7.6
Teen Titans;7.6
The Zeta Project;7.6
The Zeta Project;7.6
The Zeta Project;7.6
The Batman;7.6
Smallville;7.6
Smallville;7.6
Krypto the Superdog;7.6
Human Target;7.6
Gotham Girls;7.6
Constantine;7.6
Supergirl;7.6
Supergirl;7.6
